qxdata17,qydata17
10.4,7.091
10.41,7.0884
10.42,7.0858
10.43,7.0832
10.44,7.0806
10.45,7.078
10.46,7.0754
10.47,7.0728
10.48,7.0702
10.49,7.0676
10.5,7.065
10.51,7.0624
10.52,7.0598
10.53,7.0572
10.54,7.0546
10.55,7.052
10.56,7.0494
10.57,7.0468
10.58,7.0442
10.59,7.0416
10.6,7.039
10.61,7.0364
10.62,7.0338
10.63,7.0312
10.64,7.0286
10.65,7.026
10.66,7.0234
10.67,7.0208
10.68,7.0182
10.69,7.0156
10.7,7.013
10.71,7.0104
10.72,7.0078
10.73,7.0052
10.74,7.0026
10.75,7
10.76,6.9974
10.77,6.9948
10.78,6.9922
10.79,6.9896
10.8,6.987
10.81,6.9844
10.82,6.9818
10.83,6.9792
10.84,6.9766
10.85,6.974
10.86,6.9714
10.87,6.9688
10.88,6.9662
10.89,6.9636
10.9,6.961
10.91,6.9584
10.92,6.9558
10.93,6.9532
10.94,6.9506
10.95,6.948
10.96,6.9454
10.97,6.9428
10.98,6.9402
10.99,6.9376
11,6.935
11.01,6.92905
11.02,6.9231
11.03,6.91715
11.04,6.9112
11.05,6.90525
11.06,6.8993
11.07,6.89335
11.08,6.8874
11.09,6.88145
11.1,6.8755
11.11,6.86955
11.12,6.8636
11.13,6.85765
11.14,6.8517
11.15,6.84575
11.16,6.8398
11.17,6.83385
11.18,6.8279
11.19,6.82195
11.2,6.816
11.21,6.81005
11.22,6.8041
11.23,6.79815
11.24,6.7922
11.25,6.78625
11.26,6.7803
11.27,6.77435
11.28,6.7684
11.29,6.76245
11.3,6.7565
11.31,6.75055
11.32,6.7446
11.33,6.73865
11.34,6.7327
11.35,6.72675
11.36,6.7208
11.37,6.71485
11.38,6.7089
11.39,6.70295
11.4,6.697
11.41,6.69105
11.42,6.6851
11.43,6.67915
11.44,6.6732
11.45,6.66725
11.46,6.6613
11.47,6.65535
11.48,6.6494
11.49,6.64345
11.5,6.6375
11.51,6.63155
11.52,6.6256
11.53,6.61965
11.54,6.6137
11.55,6.60775
11.56,6.6018
11.57,6.59585
11.58,6.5899
11.59,6.58395
11.6,6.578
